timestamp,frame_number,fps,memory_mb,num_detections,num_tracks
1.050,0,0.95,481.45,3,3
1.656,1,1.91,453.63,3,3
2.109,2,2.41,452.56,3,3
2.552,3,2.47,480.12,3,3
3.035,4,2.24,457.04,4,4
3.501,5,2.33,458.20,4,4
4.046,6,1.96,458.20,4,4
4.572,7,2.05,458.64,4,4
5.047,8,2.30,459.77,4,4
5.496,9,2.43,461.11,4,4
5.897,10,2.73,482.30,4,4
6.247,11,3.13,483.66,4,4
6.600,12,3.12,484.77,4,4
6.945,13,3.23,484.73,4,4
7.247,14,3.69,484.73,4,4
7.545,15,3.72,484.88,4,4
7.840,16,3.77,484.89,4,4
8.139,17,3.73,484.90,4,4
8.448,18,3.59,484.92,4,4
8.751,19,3.67,485.35,4,4
9.083,20,3.30,485.38,4,4
9.408,21,3.41,485.38,4,4
9.706,22,3.75,485.38,4,4
10.011,23,3.63,485.82,4,4
10.312,24,3.68,475.00,4,4
10.632,25,3.45,462.91,4,4
10.955,26,3.42,476.54,4,4
11.256,27,3.69,476.54,3,3
11.558,28,3.70,476.54,3,3
11.858,29,3.70,476.55,4,4
12.159,30,3.68,477.55,4,4
12.461,31,3.66,477.60,4,4
12.760,32,3.72,477.62,4,4
13.062,33,3.68,465.21,4,4
13.364,34,3.67,477.68,4,4
13.671,35,3.61,465.26,5,5
13.975,36,3.66,465.30,6,6
14.278,37,3.66,465.31,6,6
14.582,38,3.68,477.77,6,6
14.886,39,3.66,465.32,6,6
15.190,40,3.65,465.33,6,6
15.493,41,3.67,465.34,6,6
15.798,42,3.65,465.36,6,6
16.100,43,3.67,477.80,6,6
16.404,44,3.67,465.36,6,6
16.704,45,3.70,477.82,5,5
17.004,46,3.71,477.82,4,4
17.310,47,3.63,477.82,5,5
17.610,48,3.70,471.02,4,4
17.913,49,3.66,479.72,5,5
18.215,50,3.67,480.12,5,5
18.544,51,3.36,466.98,5,5
18.890,52,3.26,466.42,5,5
19.236,53,3.23,466.43,6,6
19.579,54,3.26,466.44,6,6
19.923,55,3.27,466.85,6,6
20.266,56,3.27,466.85,5,5
20.611,57,3.24,466.85,5,5
20.953,58,3.26,466.85,5,5
21.296,59,3.26,466.86,6,6
21.639,60,3.27,466.86,5,5
21.980,61,3.29,467.86,5,5
22.323,62,3.26,467.87,5,5
22.668,63,3.26,467.86,5,5
23.013,64,3.25,467.86,5,5
23.352,65,3.30,467.87,4,4
23.696,66,3.25,467.88,5,5
24.051,67,3.15,467.88,4,4
24.395,68,3.25,467.88,4,4
24.735,69,3.29,470.69,4,4
25.078,70,3.26,467.89,5,5
25.422,71,3.25,467.92,4,4
25.772,72,3.20,467.93,5,5
26.116,73,3.25,467.93,5,5
26.458,74,3.27,468.65,4,4
26.804,75,3.27,469.09,5,5
27.146,76,3.29,467.84,5,5
27.490,77,3.25,470.66,5,5
27.836,78,3.23,467.85,5,5
28.182,79,3.23,467.86,5,5
28.523,80,3.29,467.86,5,5
28.866,81,3.26,467.86,5,5
29.208,82,3.27,467.86,5,5
29.550,83,3.28,468.29,5,5
29.897,84,3.22,468.29,5,5
30.242,85,3.25,468.29,5,5
