timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.58,571.94,3,1
1.795,1.48,590.05,3,2
2.525,1.78,602.34,3,3
3.142,1.91,607.42,3,4
3.724,2.13,608.53,4,5
4.249,2.15,632.18,4,6
4.759,2.34,609.68,4,7
5.24,2.22,609.68,4,8
5.735,2.07,610.78,4,9
6.269,2.21,610.8,4,10
6.77,2.3,633.34,4,11
7.252,2.36,610.85,4,12
7.727,2.61,634.41,4,13
8.162,2.61,634.42,4,14
8.587,2.62,634.43,4,15
9.012,2.54,611.98,4,16
9.453,2.68,634.44,4,17
9.875,2.62,634.44,4,18
10.3,2.66,634.44,4,19
10.717,2.65,634.87,4,20
11.142,2.51,634.89,4,21
11.591,2.55,634.89,4,22
12.033,2.63,634.89,4,23
12.465,2.53,634.02,4,24
12.91,2.55,609.19,4,25
13.355,2.59,606.93,4,26
13.793,2.57,606.91,4,27
14.231,2.61,608.0,3,28
14.667,2.34,606.97,3,29
15.143,2.59,606.96,4,30
15.594,2.6,609.04,4,31
16.019,2.59,607.99,4,32
16.459,2.59,609.06,4,33
16.894,2.55,608.03,4,34
17.331,2.58,608.02,4,35
17.766,2.48,605.76,5,36
18.217,2.54,608.08,6,37
18.651,2.47,608.12,6,38
19.103,2.57,609.21,6,39
19.534,2.6,609.21,6,40
19.965,2.55,608.14,6,41
20.407,2.59,608.14,6,42
20.836,2.6,608.14,6,43
21.27,2.56,609.21,6,44
21.709,2.57,609.21,6,45
22.147,2.51,608.15,5,46
22.593,2.61,608.15,4,47
23.021,2.46,608.15,5,48
23.488,2.61,610.48,4,49
23.917,2.55,612.09,5,50
24.349,2.66,617.63,5,51
24.759,2.78,621.34,5,52
25.15,3.06,620.12,5,53
25.515,3.07,617.3,6,54
25.874,3.04,620.12,6,55
26.236,3.24,617.39,6,56
26.582,2.59,609.21,5,57
27.002,2.62,620.03,5,58
27.418,2.87,629.82,5,59
27.801,3.41,617.37,6,60
28.13,3.1,629.82,5,61
28.485,3.25,618.39,5,62
28.825,2.89,621.2,5,63
29.205,2.94,621.21,5,64
29.577,2.81,610.25,5,65
29.967,3.04,630.67,4,66
